Time;Year;Country Name;Country Code;Population, total [SP.POP.TOTL];CO2 emissions (kt) [EN.ATM.CO2E.KT];Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE];Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE];Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) [EN.ATM.GHGO.KT.CE];Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC];Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS];Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS];Energy imports, net (% of energy use) [EG.IMP.CONS.ZS];Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS];Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS];Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS];Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS];Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS];Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD];Manufacturing, value added (constant 2015 US$) [NV.IND.MANF.KD];Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE];Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]
1979;1979;Belgium;BEL;9848382;;;;1061,076;4906,085081;93,96135351;;84,4564083;0,60687795;76,96561025;21,97668818;0,45082362;;20875,28768;;4976,777099;6,106226237
1979;1979;Netherlands;NLD;14038270;;;;17794,41309;4403,106651;98,29367605;;-7,603100644;1,715686275;92,87199057;5,412323157;0;;22701,37691;41622703727;4868,635594;1,330346701
1979;1979;Sweden;SWE;8293678;;;;1636,505637;10694,29028;65,89126311;;66,14524735;0,365009572;13,25394989;22,13094061;64,25009993;;25435,44159;;5229,618271;24,75232963
1979;1979;Switzerland;CHE;6294365;;;;1363,94206;5779,137371;70,5441488;;67,3791997;0,631254811;3,989882327;25,96502804;69,41383482;;;;3042,179155;30,24259859
1979;1979;Japan;JPN;115890000;;;;7248,31;4861,920787;92,61089091;;88,83336953;0,153756791;74,02603615;12,02600198;13,79420508;;16359,64003;;3043,527509;7,389109086
1980;1980;Canada;CAN;24515667;;;;30250,59375;12803,97551;80,56398301;;-7,934874522;0,348265904;22,1813233;10,18865296;67,28175783;;20843,40181;;7828,837983;16,67245292
1980;1980;United States;USA;227225000;;;;134115,6;9862,365497;91,42607196;;13,93136961;0,239317437;77,30941944;10,96612725;11,48513587;;24802,87098;;7942,253018;5,427286863
1980;1980;United Kingdom;GBR;56314216;;;;14907,51719;4683,932739;94,96889209;;0,294089867;0;85,59726266;13,03300935;1,369727991;;18146,56177;;3523,648842;5,030976883
1980;1980;Italy;ITA;56433883;;;;7319,869469;3104,854578;93,73038866;;84,79396884;2,158343962;71,97859097;1,203440269;24,6596248;;18310,11875;;2318,4273;5,169350262
1980;1980;Germany;DEU;78288576;;;;20275,21094;5797,499753;94,09208559;;48,02980287;0,611570957;82,82476305;11,92027276;4,089076639;;19503,00894;;4562,295973;4,517432746
1980;1980;France;FRA;55052582;;;;14775,25;4430,7277;83,8755072;;72,57127721;0,279043015;48,89976215;23,80454553;27,01664931;;19821,72156;1,55E+11;3483,401541;11,47264454
1980;1980;Belgium;BEL;9859242;;;;932,7482813;4893,885351;93,31781526;;82,69565813;0,565067526;75,27452864;23,63677459;0,52362924;;20689,86841;;4743,42206;7,044037419
1980;1980;Netherlands;NLD;14149800;;;;17420,1123;4364,160624;97,98788195;;-11,5847161;1,580100608;91,93901799;6,4808814;0;;22763,06953;41434656825;4548,824789;1,700529268
